VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract,Vehicle Age,Vehicle Category
5YJ3E1EBXJ,Yakima,Yakima,WA,98902,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,14.0,131356970,POINT (-120.51904 46.59782),PACIFICORP,53077000600,8,BEV
5YJ3E1EA9J,King,Redmond,WA,98052,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,45.0,280918739,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032321,8,BEV
JM3KKEHA0R,Kitsap,Poulsbo,WA,98370,2024,Mazda,CX-90,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26.0,23.0,257279669,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100,2,PHEV
5YJ3E1EB6L,Kitsap,Silverdale,WA,98383,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,322.0,23.0,6335647,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035091302,6,BEV
5YJ3E1EA2L,King,Bothell,WA,98011,2020,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266.0,1.0,103588558,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021804,6,BEV
5YJYGDEF8M,Thurston,Olympia,WA,98516,2021,Tesla,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,2.0,270138662,POINT (-122.78598 47.08476),PUGET SOUND ENERGY INC,53067012330,5,BEV
5YJ3E1EA8J,Snohomish,Monroe,WA,98272,2018,Tesla,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215.0,39.0,475288733,POINT (-121.98087 47.8526),PUGET SOUND ENERGY INC,53061052208,8,BEV
5YJSA1E25K,King,Kent,WA,98042,2019,Tesla,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,270.0,47.0,214922046,POINT (-122.10798 47.37124),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031707,7,BEV
KMTGE4S1XR,Yakima,Zillah,WA,98953,2024,Genesis,G80,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0.0,15.0,282155779,POINT (-120.26226 46.40199),PACIFICORP,53077002201,2,BEV
5UXKT0C31H,Kitsap,Olalla,WA,98359,2017,Bmw,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14.0,26.0,291484539,POINT (-122.54729 47.42602),PUGET SOUND ENERGY INC,53035092802,9,PHEV
